"X";"Y";"Z";"time";"x1";"y1";"z1";"x2";"y2";"z2";"x3";"y3";"z3"
415345.904;5726541.552;558.306;20070611081454242;2267;1872;4880;7028;5691;5289;21;22;33
415390.508;5726539.036;559.185;20070611081455203;1896;2196;4869;7554;6653;4692;26;24;35
415438.203;5726536.756;560.157;20070611081456234;1961;2020;4814;7878;7002;4493;22;21;30
415483.957;5726534.843;560.972;20070611081457227;2056;2166;4829;7009;6979;4692;20;21;30
415531.020;5726533.125;561.780;20070611081458250;1826;1938;4801;6731;6769;5216;22;23;27
415575.792;5726531.712;562.476;20070611081459227;1878;2117;4900;7244;6597;5048;21;28;36
415622.608;5726530.538;562.971;20070611081500250;1792;2085;4933;7416;7171;4570;22;23;31
415666.884;5726529.576;563.112;20070611081501219;2113;2067;4912;7025;7306;4494;25;23;28
415712.582;5726528.598;563.133;20070611081502219;1795;1880;4970;7195;6947;5520;19;25;27
415756.893;5726527.779;563.016;20070611081503188;2019;2126;4969;6261;7168;4890;23;21;27
415801.666;5726527.155;562.412;20070611081504164;2024;1898;5058;7601;6475;4973;27;27;28
415849.164;5726526.721;561.403;20070611081505195;2208;1967;5039;6874;6675;5093;27;21;27
415893.988;5726526.503;560.473;20070611081506164;2610;2094;5195;7032;6907;5162;26;23;33
415942.643;5726526.441;559.485;20070611081507211;2698;1991;5082;7303;6946;5057;21;24;30
415988.197;5726526.605;558.715;20070611081508188;3021;2084;5272;8222;7749;4517;26;21;37
416036.080;5726526.997;558.097;20070611081509211;3341;2081;5323;7413;6811;4069;24;25;32
416081.875;5726527.636;557.581;20070611081510188;3100;2174;5235;7667;6894;5131;23;24;29
416130.331;5726528.652;556.909;20070611081511219;2621;2169;5131;6761;5963;4830;24;28;33
416175.971;5726529.879;556.204;20070611081512188;3150;2138;5220;7786;5952;4801;34;28;28
416223.938;5726531.490;555.636;20070611081513203;3433;2177;5106;8120;6742;4897;21;23;26
416272.334;5726533.471;555.349;20070611081514227;3176;2157;4994;8042;6855;4725;24;22;34
416318.136;5726535.632;555.332;20070611081515195;3297;2109;5111;8405;8004;4442;22;23;26
416367.194;5726538.232;555.626;20070611081516234;3361;2024;4977;7900;6713;4815;24;24;37
416411.369;5726540.743;556.087;20070611081517172;3245;2124;4990;7704;7006;4979;24;23;37
416459.090;5726543.622;556.704;20070611081518188;3159;2107;4865;7737;7335;4847;26;22;30
416504.474;5726546.481;557.315;20070611081519156;3195;2193;4955;8561;6596;4489;28;20;34
416552.273;5726549.614;557.981;20070611081520180;3313;2150;5013;7859;7436;4668;30;26;34
416598.503;5726552.717;558.635;20070611081521172;3066;2222;4964;7899;6761;4398;22;25;29
416646.780;5726556.017;559.218;20070611081522211;3181;2195;5168;7627;7015;4843;23;25;29
416692.411;5726559.189;559.713;20070611081523195;2882;2119;4959;8297;7005;5517;28;25;29
416737.588;5726562.402;560.150;20070611081524172;2783;2096;4940;7783;7638;5073;24;23;30
416784.870;5726565.836;560.384;20070611081525195;2434;2090;4929;7535;7763;4882;31;24;33
416832.148;5726569.390;560.331;20070611081526219;2524;2093;5039;7071;7208;5073;20;20;29
416877.315;5726572.787;560.124;20070611081527195;3256;2107;5157;7432;6660;5102;19;20;30
416924.343;5726576.184;559.994;20070611081528211;3664;2086;5100;8006;7551;5213;24;23;35
416972.112;5726579.422;559.868;20070611081529242;3228;2013;5081;7926;6539;4609;24;27;30
417017.748;5726582.323;559.676;20070611081530227;3371;2083;5070;7829;6770;4935;21;23;33
417065.266;5726585.182;559.418;20070611081531250;3422;2116;5090;8436;7218;4799;28;24;32
417109.567;5726587.664;559.264;20070611081532203;3440;2164;5150;8597;6623;4387;20;22;30
417157.195;5726590.096;559.120;20070611081533227;3655;2069;4971;7827;6953;4992;25;22;27
417202.311;5726592.257;558.949;20070611081534195;3753;2103;5125;8020;6989;4840;31;24;35
417250.405;5726594.341;558.575;20070611081535227;3580;2154;5097;7932;7508;4518;25;27;35
417296.039;5726596.027;558.171;20070611081536203;3725;2170;5053;8457;7021;4573;24;24;30
417344.341;5726597.590;557.781;20070611081537234;3576;2150;5028;8540;7647;4649;23;24;29
417389.814;5726599.019;557.354;20070611081538203;3393;2157;5073;8532;6075;5078;22;30;31
417436.140;5726600.390;556.828;20070611081539188;3401;2003;4958;8236;6783;4836;22;20;32
417484.081;5726601.678;556.246;20070611081540203;3644;2120;5021;9042;6567;4625;26;24;37
417530.689;5726602.688;555.733;20070611081541188;3868;2155;5133;9202;5567;4599;26;27;28
417579.617;5726603.538;555.317;20070611081542219;3874;2187;5209;8040;7077;5118;27;21;33
417625.668;5726604.131;554.859;20070611081543188;4255;2179;5175;9474;6572;4705;25;26;29
417674.798;5726604.464;554.286;20070611081544219;3926;2202;5067;7870;6400;4941;27;21;29
417721.045;5726604.445;553.677;20070611081545188;3878;2218;5121;8245;6264;4500;27;23;33
417769.610;5726604.070;553.130;20070611081546203;4272;2257;5021;9840;7153;5011;35;32;32
417818.955;5726603.353;552.710;20070611081547234;3686;2095;4976;8595;7067;5171;26;23;28
417864.238;5726602.430;552.390;20070611081548180;4113;2163;5049;7490;6813;4613;24;21;31
417912.901;5726601.161;552.102;20070611081549195;3819;2226;5036;8888;6707;4675;22;22;27
417962.277;5726599.591;552.001;20070611081550227;3803;1951;4938;8151;7642;5489;21;22;36
418009.715;5726597.897;552.101;20070611081551219;4463;2196;4940;9426;6942;4131;24;28;26
418055.213;5726596.144;552.312;20070611081552172;4573;2260;5295;9208;7086;4889;28;22;34
418103.960;5726594.099;552.616;20070611081553195;4181;2161;5009;7910;6775;4901;22;25;32
