"X";"Y";"Z";"time";"x1";"y1";"z1";"x2";"y2";"z2";"x3";"y3";"z3"
422040.727;5723717.024;511.906;20070611093642117;2276;2440;4952;6465;5927;5175;24;30;35
422042.466;5723761.708;513.712;20070611093643148;1844;2287;4918;7573;7014;5221;22;26;29
422045.736;5723803.169;515.164;20070611093644109;1768;2526;4919;7144;7262;5589;23;21;29
422050.112;5723846.855;516.162;20070611093645125;1389;2610;4869;6849;7333;4733;23;23;27
422054.713;5723888.803;516.688;20070611093646102;1192;2322;4706;7293;7838;4543;19;22;29
422059.805;5723932.691;516.825;20070611093647125;1369;2286;4973;6845;7801;4915;22;25;28
422065.137;5723976.182;516.446;20070611093648141;1884;2680;4982;8348;7200;4121;9;32;37
422070.380;5724017.696;516.051;20070611093649109;2156;2589;5138;6710;6681;4857;20;22;31
422076.099;5724061.569;515.997;20070611093650133;2472;2762;5366;7354;7475;5161;23;23;31
422081.969;5724105.385;516.260;20070611093651156;2185;2535;5142;7654;7580;4967;23;21;35
422087.667;5724147.475;516.510;20070611093652141;2135;2729;5096;6945;7154;4712;22;21;30
422092.886;5724188.908;516.972;20070611093653109;2803;2919;5185;7754;6608;4124;24;22;29
422097.536;5724232.066;517.571;20070611093654117;2247;3006;5276;7503;6954;4507;21;26;30
422101.685;5724275.867;517.881;20070611093655141;2394;3110;5185;6680;7447;4851;18;30;31
422104.879;5724317.441;518.430;20070611093656109;3219;3257;5376;8788;7194;4643;20;26;28
422106.695;5724362.287;519.740;20070611093657148;2358;2410;5194;6953;7222;4964;24;24;31
422107.356;5724404.363;520.666;20070611093658117;1668;2786;5090;6994;7645;5121;26;25;31
422107.573;5724448.451;521.648;20070611093659125;1846;2901;5053;6897;7280;4214;23;26;30
422107.403;5724493.837;523.046;20070611093700156;1338;2703;4969;6555;6653;4793;23;23;26
422106.725;5724536.242;524.099;20070611093701117;1596;2473;4924;6708;7205;4437;25;26;30
422105.640;5724581.144;524.354;20070611093702133;1607;2472;5036;6671;5954;5116;20;42;31
422104.536;5724624.726;524.689;20070611093703117;1503;2721;4969;6400;6466;5107;24;26;32
422103.171;5724667.539;525.001;20070611093704086;1775;2466;5071;6654;6950;4548;25;25;34
422101.215;5724712.655;525.189;20070611093705109;1742;2587;5139;5877;6822;4661;17;25;32
422098.832;5724755.690;525.247;20070611093706086;1634;2666;5123;6713;6864;4733;21;28;34
422095.742;5724800.777;524.918;20070611093707109;1551;2606;5064;6882;7696;4853;19;23;30
422091.639;5724848.668;523.514;20070611093708195;1636;2138;5027;7372;7071;4735;25;27;28
