"X";"Y";"Z";"time";"x1";"y1";"z1";"x2";"y2";"z2";"x3";"y3";"z3"
420609.775;5723738.705;549.456;20070611092734133;1648;1938;4688;6407;6070;4342;23;24;32
420613.464;5723784.540;548.856;20070611092733109;1868;1942;4612;7100;6065;4578;27;29;27
420616.277;5723828.133;547.717;20070611092732141;1756;2108;4692;7208;7058;5219;23;26;27
420618.561;5723874.466;546.208;20070611092731117;1727;2349;4818;7478;7720;4557;21;22;27
420619.721;5723921.189;544.716;20070611092730094;1961;2341;4547;6582;5788;5024;19;22;30
420619.387;5723966.120;543.706;20070611092729117;2001;2139;4689;6651;7081;4979;24;26;24
420617.617;5724013.528;542.892;20070611092728094;2182;2214;4673;7273;7809;5317;31;28;32
420614.774;5724057.159;542.198;20070611092727156;2350;2399;4693;7089;7238;5121;22;25;32
420610.757;5724102.679;541.918;20070611092726180;2391;2357;4678;8281;7823;5049;23;22;29
420605.425;5724150.376;542.065;20070611092725156;3222;2519;4649;7725;6749;4478;28;24;28
420599.017;5724197.983;542.859;20070611092724133;2438;2121;4765;7535;6684;5102;27;30;28
420592.065;5724243.273;543.984;20070611092723156;2235;2001;4715;6559;6741;4563;25;24;28
420584.237;5724290.623;544.893;20070611092722133;2026;2072;4715;7876;6424;4346;24;20;30
420576.861;5724334.649;545.358;20070611092721180;2070;2275;4609;6720;7102;5437;23;26;22
420569.491;5724380.097;545.379;20070611092720195;1612;1830;4525;6669;6203;5300;20;23;36
420562.085;5724427.577;545.804;20070611092719164;1859;2082;4750;7570;7125;5206;28;24;34
420555.412;5724471.963;547.153;20070611092718195;1810;2095;4642;7133;6109;5232;23;21;28
420549.003;5724519.109;548.812;20070611092717164;1943;2033;4658;6054;6366;5293;30;51;28
420543.551;5724566.660;549.682;20070611092716125;2250;2106;4565;7690;6486;5207;23;24;31
420539.151;5724611.099;550.012;20070611092715156;1959;1811;4694;7379;6139;4931;24;22;34
420535.127;5724656.302;550.214;20070611092714172;1936;2005;4677;7357;7103;5487;24;21;32
420531.365;5724703.371;550.385;20070611092713148;2025;2200;4582;6606;6725;4664;21;23;27
420528.099;5724748.387;550.663;20070611092712172;1481;1959;4537;6283;7245;4289;24;22;31
420524.964;5724797.830;550.650;20070611092711102;1488;1845;4596;6277;6519;4653;24;29;32
420522.286;5724842.668;550.280;20070611092710133;1475;1978;4685;6541;7221;5082;18;20;30
420519.478;5724890.069;550.033;20070611092709109;1726;1958;4581;7348;6529;5146;19;21;28
420516.791;5724935.750;550.209;20070611092708125;1754;2085;4566;6775;6949;4319;25;23;29
420514.320;5724983.277;549.871;20070611092707102;2032;2049;4638;7389;6938;4881;26;24;31
420512.655;5725028.695;548.979;20070611092706125;2070;2083;4679;7185;7102;4812;23;21;29
420511.402;5725076.413;547.898;20070611092705102;1716;2006;4600;5841;7031;4776;22;23;33
420510.470;5725121.618;546.432;20070611092704133;2268;2148;4688;6963;7115;4976;27;27;34
420509.850;5725169.459;544.694;20070611092703109;2035;2077;4624;6991;6624;5571;22;19;29
420509.557;5725214.963;542.622;20070611092702141;1912;2058;4732;6749;6613;4828;21;22;29
420509.408;5725263.614;540.112;20070611092701109;2009;2795;4771;6501;7188;5151;24;23;27
420509.228;5725309.201;537.949;20070611092700148;2279;2526;4747;7463;7845;4917;21;23;35
420509.001;5725358.376;535.285;20070611092659117;2592;2146;4755;7626;7025;4748;22;20;31
420508.834;5725407.094;533.627;20070611092658102;2696;2548;4602;7482;7305;4944;25;25;29
420508.580;5725453.003;533.745;20070611092657148;1972;2473;4740;6557;6763;4902;22;25;31
420508.475;5725499.705;534.197;20070611092656180;2186;2231;4610;7208;7170;4844;19;20;27
420508.215;5725549.032;535.263;20070611092655156;2622;2426;4718;6786;6097;4432;24;22;32
420507.921;5725598.271;536.914;20070611092654133;2684;2614;4633;7388;7115;4726;23;22;27
420507.620;5725644.730;538.651;20070611092653164;2915;2537;4710;6375;6417;4925;26;21;30
420507.261;5725693.975;540.681;20070611092652133;2698;2414;4709;7274;8066;4670;19;19;30
420506.978;5725740.711;542.887;20070611092651148;2933;2608;4619;7755;6546;5038;33;27;32
420506.961;5725787.186;545.144;20070611092650164;2575;2563;4869;7343;6644;5670;27;23;30
420507.337;5725835.647;546.749;20070611092649133;3240;2694;4632;7886;7262;5207;27;21;32
420508.172;5725883.247;546.953;20070611092648117;2983;2572;4688;7493;7238;4701;26;26;28
420509.422;5725928.998;546.468;20070611092647141;2909;2456;4686;6747;7391;5004;24;19;33
420511.393;5725978.123;545.488;20070611092646094;2452;2288;4721;7123;6967;5055;22;28;31
420514.135;5726024.070;544.480;20070611092645117;2630;2304;4611;8079;7124;5025;24;23;36
420517.946;5726072.327;543.641;20070611092644094;3150;2427;4794;7915;6847;5250;28;24;31
420522.429;5726118.071;543.137;20070611092643125;2739;2418;4702;7724;8240;4449;21;25;28
420527.767;5726164.920;543.109;20070611092642133;2711;2537;4581;7503;7301;4769;24;22;29
420533.796;5726210.942;543.189;20070611092641156;2126;2138;4731;6776;6514;4796;22;22;28
420540.599;5726259.381;543.227;20070611092640125;3458;2649;4794;8014;7377;5057;24;23;29
420546.834;5726304.380;543.847;20070611092639164;3021;2319;4702;7664;6746;4809;27;25;27
420552.965;5726352.237;544.974;20070611092638141;2520;2305;4825;6924;6392;5895;21;33;30
420558.362;5726397.115;545.731;20070611092637180;2586;2238;4697;7805;6494;4979;24;21;28
420564.145;5726446.310;546.222;20070611092636125;2718;2146;4723;7619;7022;5186;24;22;30
420569.397;5726491.417;546.549;20070611092635156;3097;2232;4669;8141;6392;4916;24;21;28
420574.811;5726538.938;547.017;20070611092634133;3036;2192;4820;7392;7313;5230;28;28;30
420579.720;5726583.768;547.585;20070611092633164;2436;2179;4588;7191;6772;4551;23;25;29
420584.606;5726631.401;548.217;20070611092632133;2816;2421;4730;7830;6786;4506;24;23;37
420589.021;5726679.666;549.015;20070611092631086;3195;2436;4744;7747;7758;4624;23;27;30
420592.394;5726724.263;549.961;20070611092630117;2528;2131;4619;7704;6627;5067;27;21;30
420595.145;5726771.244;551.046;20070611092629094;2239;2357;4674;7053;7150;5350;23;30;28
420597.039;5726815.554;551.764;20070611092628125;2690;2374;4679;7115;7195;5509;20;22;28
420598.491;5726860.098;551.670;20070611092627148;2360;2218;4670;6854;7919;4664;28;21;26
420599.544;5726904.657;551.131;20070611092626172;2873;2454;4643;7761;6896;4437;24;27;37
420600.121;5726951.474;550.212;20070611092625148;2598;2368;4705;7471;7278;5390;25;26;27
420600.034;5726995.977;549.090;20070611092624180;2255;2219;4726;7084;7314;5096;26;25;31
420599.437;5727043.922;547.618;20070611092623141;2409;2163;4546;7022;7282;4210;28;22;27
