"n/n"	"x"	"y"	"Metr"	"FINAL"
1721	483849.014	9495698.09	161.37
3200	481321.708	9495002.13	138.6
3310	480117.712	9497304.58	141.9	-1008.15
3342	480266.876	9497150.506	142.56	-766.59
3472	479905.883	9497259.74	140.58	-798.93
3507	480328.294	9497351.84	142.89	-747.78
3523	480475.904	9497198.804	143.55	-712.14
3524	480054.033	9497101.17	140.25	-830.61
3541	480201.528	9496942.46	140.25	-839.19
3543	480180.995	9497512.371	140.58	-788.7
3544	479969.498	9497464.111	139.59	-799.92
3574	480624.177	9497040.624	141.9	-696.96
3576	480560.189	9496833.26	140.91	-777.15
3577	480834.488	9497088.48	142.56	-610.17
3578	480772.15	9496882.46	142.23	-693.33
3620	479700.008	9495106.09	118.8
3621	480709.573	9496671.29	142.89	-816.09
3623	480979.114	9496927.16	143.88	-626.67
3626	481190.746	9496975.389	143.88	-852.72
3656	480960.095	9497296.74	141.24	-584.76
3670	482289.177	9499150.16	71.61	-1110.45
3695	481999.803	9496391.64	149.49	-1765.83
3785	480334.981	9498891.98	42.24	-778.14
3845	479809.783	9495908.96	122.76
3885	480445.406	9500158.34	104.61	-1169.52
3955	482704.229	9497364.76	151.8	-1509.42
3975	481058.866	9499075.17	59.73	-333.63
4064	482461.683	9499050.26	87.78	-354.75
4066	482092.624	9499047.636	74.25	-338.91
4187	482463.584	9499263.018	73.26	-345.84
4188	482093.161	9499263.094	67.32	-341.22
4192	482472.638	9498836.757	111.54	-356.07
4193	481832.185	9499196.51	64.68	-417.45
4194	482097.594	9498742.15	119.13	-350.79
4198	482096.196	9499475.604	65.01	-356.4
4534	480516.527	9500595.22	130.35
4541	481372.508	9500572.36	70.95
4556	481394	9499983	44.88
4558	481936.389	9500117.7	53.79
4725	481728.197	9498294.38	148.83	-1465.2
4735	479013	9497097	113.19
4811	479103.34	9499464.79	103.62
4823	481294.429	9496828.925	144.21	-826.32
4824	480734.38	9497317.253	140.25	-793.65
4830	481083.802	9499330.06	47.19	-1134.87
4870	482744.958	9497450.913	152.46	-439.56
4877	479217.249	9499917.75	73.26
4947	480129.512	9496379.67	134.97	-913.44
4948	481461.715	9497974.08	151.14	-1426.59
4949	481428.287	9498294.118	129.03	-515.79
4951	482027.559	9498293.19	147.84	-884.4
4954	479211.825	9498881.64	35.64
4973	481125.605	9497977.36	148.5	-1064.25
4974	482329.953	9497668.66	151.47	-987.36
4975	480800.005	9496336.24	141.57	-846.12
4986	481165.988	9498408.56	93.06	-518.1
4987	481733.861	9497989.98	149.49	-565.29
5017	481718.763	9497709.3	149.16	-629.31
5022	481766.209	9500780.64	78.54
5024	481504.852	9497651.77	148.17	-593.34
5035	480211.568	9498080.76	96.03	-587.73
5044	481573.011	9498147.42	149.49	-492.69
5046	481849.924	9498462.02	142.56	-367.95
5066	481825.477	9498142.394	148.5	-475.2
5098	479373	9499513	111.54
5218	481896.36	9497873.112	149.82	-574.53
5531	480896.444	9497589.12	133.32	-583.11
6152	481950.344	9497636.23	149.49	-542.19
6173	482057.036	9498067.24	149.16	-519.09
6323	482290.653	9499354.78	68.64	-417.45
6374	482492.096	9499449.13	70.95	-376.86
6499	481568.405	9498421.262	133.32	-426.03
6768	482290.039	9498923.46	94.71	-331.65
6773	481435.674	9497051.497	145.86	-597.3
6794	481093.548	9496755.39	144.54	-771.21
6796	481540.862	9496861.24	145.86	-647.79
6813	481177.042	9497028.976	143.55	-635.58
6814	481029.378	9497190.33	142.23	-620.73
6892	480935.686	9496525.387	144.21	-728.64
6893	481639.968	9497111.55	147.84	-560.67
6894	481750.565	9496922.303	147.18	-628.32
6896	481697.983	9496709.424	146.19	-597.3
6981	481136.496	9497529.24	147.51	-1568.49
6985	481860.197	9497104.368	148.5	-504.9
6987	480711.362	9496541.72	141.9	-731.28
6993	481970.152	9496876.666	148.5	-595.98
6994	481149.363	9496539.141	144.87	-735.57
6996	480706.378	9497295.274	141.57	-682.44
7202	481053.005	9496339.953	144.54	-740.52
7203	481492.256	9496374.27	145.53	-694.98
7236	479434.22	9497639.4	116.49
7273	481367.607	9496559.021	144.87	-662.64
7274	481704.085	9496384.926	146.85	-607.53
7334	482088.899	9497077.49	149.49	-519.09
7336	481271.846	9496347.352	144.54	-716.43
7337	481585.506	9496562.51	144.87	-619.41
7338	481657.295	9496172.028	147.18	-716.1
7339	479382	9497060	122.76
7344	479786.975	9497613.43	127.71	-1551
7366	481055.177	9498235.63	103.62	-364.32
