"n/n"	"y"	"x"	"Feet"	"Metr"		"FM"	"ELE"	"P_INF"	"PAL"	"MOG"	"FINAL"	"ELE"	"P_INF"	"PAL"	"MOG"	"FINAL"	"ELE"	"P_INF"	"PAL"	"MOG"	"FINAL"
3310	9497304.58	480117.712	428	141.24	3310	"BAN"	428	2330	2713		3483	141.24	768.9	895.29		1149.39		-627.66	-754.05		-1008.15
3342	9497150.506	480266.876	440	145.2	3342	"BAN"	440	2282	2625		2763	145.2	753.06	866.25		911.79		-607.86	-721.05		-766.59
3472	9497259.74	479905.883	430	141.9	3472	"BAN"	430	2502	2785		2851	141.9	825.66	919.05		940.83		-683.76	-777.15		-798.93
3507	9497351.84	480328.294	434	143.22	3507	"BAN"	434	2084	2500		2700	143.22	687.72	825		891		-544.5	-681.78		-747.78
3523	9497198.804	480475.904	442	145.86	3523	"BAN"	442	2075	2405		2600	145.86	684.75	793.65		858		-538.89	-647.79		-712.14
3524	9497101.17	480054.033	433	142.89	3524	"BAN"	433	2633	2860		2950	142.89	868.89	943.8		973.5		-726	-800.91		-830.61
3541	9496942.46	480201.528	440	145.2	3541	"BAN"	440	2570	2880		2983	145.2	848.1	950.4		984.39		-702.9	-805.2		-839.19
3543	9497512.371	480180.995	291	96.03	3543	"BAN"	291		2350		2681	96.03		775.5		884.73			-679.47		-788.7
3544	9497464.111	479969.498	276	91.08	3544	"BAN"	276	2225	2440		2700	91.08	734.25	805.2		891		-643.17	-714.12		-799.92
3574	9497040.624	480624.177	448	147.84	3574	"BAN"	448	2170	2400		2560	147.84	716.1	792		844.8		-568.26	-644.16		-696.96
3576	9496833.26	480560.189	445	146.85	3576	"BAN"	445	2450	2748		2800	146.85	808.5	906.84		924		-661.65	-759.99		-777.15
3577	9497088.48	480834.488	451	148.83	3577	"BAN"	451	1974	2225		2300	148.83	651.42	734.25		759		-502.59	-585.42		-610.17
3578	9496882.46	480772.15	450	148.5	3578	"BAN"	450	2190	2496		2551	148.5	722.7	823.68		841.83		-574.2	-675.18		-693.33
3621	9496671.29	480709.573	441	145.53	3621	"BAS"	441		2450		2914	145.53		808.5		961.62			-662.97		-816.09
3623	9496927.16	480979.114	451	148.83	3623	"BAN"	451	2014	2320		2350	148.83	664.62	765.6		775.5		-515.79	-616.77		-626.67
3626	9496975.389	481190.746	450	148.5	3626	"BAN"	450	1784	1990		3034	148.5	588.72	656.7		1001.22		-440.22	-508.2		-852.72
3656	9497296.74	480960.095	458	151.14	3656	"BAN"	458	1750	1958		2230	151.14	577.5	646.14		735.9		-426.36	-495		-584.76
3670	9499150.16	482289.177	204	67.32	3670	"ALG "	204	653	900	2110	3569	67.32	215.49	297	696.3	1177.77		-148.17	-229.68	-628.98	-1110.45
3695	9496391.64	481999.803	449	148.17	3695	"BAS"	449	1800	1930	3430	5800	148.17	594	636.9	1131.9	1914		-445.83	-488.73	-983.73	-1765.83
3785	9498891.98	480334.981	146	48.18	3785	"ALG "	146		220	1620	2504	48.18		72.6	534.6	826.32		48.18	-24.42	-486.42	-778.14
3885	9500158.34	480445.406	407	134.31	3845	"BAS"	407	3600	3910		3951	134.31	1188	1290.3		1303.83		-1053.69	-1155.99		-1169.52
3955	9497364.76	482704.229	458	151.14	3955	"CUE"	458	1460	1680	3365	5032	151.14	481.8	554.4	1110.45	1660.56		-330.66	-403.26	-959.31	-1509.42
3975	9499075.17	481058.866	133	43.89	3975	"ALG "	133		675		1144	43.89		222.75		377.52			-178.86		-333.63
4064	9499050.26	482461.683	208	68.64	4064	"ALG "	208	550	910		1283	68.64	181.5	300.3		423.39		-112.86	-231.66		-354.75
4066	9499047.636	482092.624	201	66.33	4066	"ALG "	201	720	1070		1228	66.33	237.6	353.1		405.24		-171.27	-286.77		-338.91
4187	9499263.018	482463.584	202	66.66	4187	"ALG "	202	700	1030		1250	66.66	231	339.9		412.5		-164.34	-273.24		-345.84
4188	9499263.094	482093.161	187	61.71	4188	"ALG "	187	815	1160		1221	61.71	268.95	382.8		402.93		-207.24	-321.09		-341.22
4192	9498836.757	482472.638	216	71.28	4192	"ALG "	216	810	1140		1295	71.28	267.3	376.2		427.35		-196.02	-304.92		-356.07
4193	9499196.51	481832.185	202	66.66	4193	"ALG "	202	995	1350		1467	66.66	328.35	445.5		484.11		-261.69	-378.84		-417.45
4194	9498742.15	482097.594	193	63.69	4194	"ALG "	193	720	1018		1256	63.69	237.6	335.94		414.48		-173.91	-272.25		-350.79
4198	9499475.604	482096.196	170	56.1	4198	"ALG "	170	807	1100		1250	56.1	266.31	363		412.5		-210.21	-306.9		-356.4
4725	9498294.38	481728.197	225	74.25	4725	"CUE"	225	393	740	2250	4665	74.25	129.69	244.2	742.5	1539.45		-55.44	-169.95	-668.25	-1465.2
4823	9496828.925	481294.429	453	149.49	4823	"BAN"	453	1838	2104		2957	149.49	606.54	694.32		975.81		-457.05	-544.83		-826.32
4824	9497317.253	480734.38	371	122.43	4824	"BAN"	371	1650	1892		2776	122.43	544.5	624.36		916.08		-422.07	-501.93		-793.65
4830	9499330.06	481083.802	147	48.51	4830	"ALG "	147			1325	3586	48.51			437.25	1183.38				-388.74	-1134.87
4870	9497450.913	482744.958	468	154.44	4870	"CUE"	468	1400	1748		1800	154.44	462	576.84		594		-307.56	-422.4		-439.56
4947	9496379.67	480129.512	431	142.23	4947	"BAS"	431	2910	3070		3199	142.23	960.3	1013.1		1055.67		-818.07	-870.87		-913.44
4948	9497974.08	481461.715	324	106.92	4948	"CUE"	324	1055	1345	2915	4647	106.92	348.15	443.85	961.95	1533.51		-241.23	-336.93	-855.03	-1426.59
4949	9498294.118	481428.287	197	65.01	4949	"CUE"	197	490	874		1760	65.01	161.7	288.42		580.8		-96.69	-223.41		-515.79
4951	9498293.19	482027.559	229	75.57	4951	"CUE"	229	436	556	2350	2909	75.57	143.88	183.48	775.5	959.97		-68.31	-107.91	-699.93	-884.4
4973	9497977.36	481125.605	230	75.9	4973	"CUE"	230	988	1220	2840	3455	75.9	326.04	402.6	937.2	1140.15		-250.14	-326.7	-861.3	-1064.25
4974	9497668.66	482329.953	472	155.76	4974	"CUE"	472	1307	1379	3260	3464	155.76	431.31	455.07	1075.8	1143.12		-275.55	-299.31	-920.04	-987.36
4975	9496336.24	480800.005	436	143.88	4975	"BAS"	436	2444	2666		3000	143.88	806.52	879.78		990		-662.64	-735.9		-846.12
4986	9498408.56	481165.988	180	59.4	4986	"CUE"	180	400	745		1750	59.4	132	245.85		577.5		-72.6	-186.45		-518.1
4987	9497989.98	481733.861	278	91.74	4987	"CUE"	278	902	1206		1991	91.74	297.66	397.98		657.03		-205.92	-306.24		-565.29
5017	9497709.3	481718.763	458	151.14	5017	"CUE"	458	1392	1753		2365	151.14	459.36	578.49		780.45		-308.22	-427.35		-629.31
5024	9497651.77	481504.852	460	151.8	5024	"CUE"	460	1512	1785		2258	151.8	498.96	589.05		745.14		-347.16	-437.25		-593.34
5035	9498080.76	480211.568	119	39.27	5035	"CUE"	119	1314	1424		1900	39.27	433.62	469.92		627		-394.35	-430.65		-587.73
