64 3
0 0 1 
3 3 6 
7 7 11 
10 10 15 
14 14 20 
17 17 25 
21 21 30 
24 24 35 
28 28 40 
31 31 45 
35 35 50 
38 38 54 
42 42 59 
46 46 64 
49 49 69 
53 53 74 
56 56 79 
60 60 84 
63 63 88 
67 67 93 
70 70 98 
74 74 103 
77 77 108 
81 81 113 
85 86 116 
88 91 120 
92 96 123 
95 100 127 
99 105 131 
102 110 134 
106 115 138 
109 120 141 
113 125 145 
116 130 148 
120 135 152 
123 139 155 
127 144 159 
131 149 162 
134 154 166 
138 159 170 
141 164 173 
145 169 177 
148 173 180 
152 178 184 
155 183 187 
159 188 191 
162 193 194 
166 198 198 
171 201 201 
177 205 205 
183 208 208 
188 212 212 
194 216 216 
199 219 219 
205 223 223 
210 226 226 
216 230 230 
221 233 233 
227 237 237 
232 240 240 
238 244 244 
243 247 247 
249 251 251 
255 255 255 
