64 3
0 0 0 
5 3 2 
10 6 4 
15 9 6 
20 12 8 
25 15 10 
30 18 12 
35 22 14 
40 25 16 
45 28 18 
50 31 20 
55 34 22 
60 37 24 
65 41 26 
70 44 28 
75 47 30 
80 50 32 
86 53 34 
91 56 36 
96 60 38 
101 63 40 
106 66 42 
111 69 44 
116 72 46 
121 75 48 
126 79 50 
131 82 52 
136 85 54 
141 88 56 
146 91 58 
151 94 60 
156 98 62 
161 101 64 
166 104 66 
172 107 68 
177 110 70 
182 113 72 
187 116 74 
192 120 76 
197 123 78 
202 126 80 
207 129 82 
212 132 84 
217 135 86 
222 139 88 
227 142 90 
232 145 92 
237 148 94 
242 151 96 
247 154 98 
252 158 100 
255 161 102 
255 164 104 
255 167 106 
255 170 108 
255 173 110 
255 177 112 
255 180 114 
255 183 116 
255 186 118 
255 189 120 
255 192 122 
255 196 124 
255 199 126 
