64 3
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
255 255 255 
